naics,census,naics_description,sgf_code,sgf_description
211,natres,Oil and gas extraction,E55,Natural resources
212,natres,Coal mining,E55,Natural resources
213,natres,Support activities for mining,E55,Natural resources
111CA,natres,Farms,M56,Natural resources
211,natres,Oil and gas extraction,M56,Natural resources
212,natres,Coal mining,M56,Natural resources
213,natres,Support activities for mining,M56,Natural resources
111CA,natres,Farms,G55,Natural resources
211,natres,Oil and gas extraction,G55,Natural resources
212,natres,Coal mining,G55,Natural resources
213,natres,Support activities for mining,G55,Natural resources
111CA,natres,Farms,F55,Natural resources
211,natres,Oil and gas extraction,F55,Natural resources
212,natres,Coal mining,F55,Natural resources
213,natres,Support activities for mining,F55,Natural resources
111CA,natres,Farms,F56,Natural resources
211,natres,Oil and gas extraction,F56,Natural resources
212,natres,Coal mining,F56,Natural resources
213,natres,Support activities for mining,F56,Natural resources
111CA,natres,Farms,M59,Natural resources
211,natres,Oil and gas extraction,M59,Natural resources
212,natres,Coal mining,M59,Natural resources
213,natres,Support activities for mining,M59,Natural resources
111CA,natres,Farms,M54,Natural resources
211,natres,Oil and gas extraction,M54,Natural resources
212,natres,Coal mining,M54,Natural resources
213,natres,Support activities for mining,M54,Natural resources
111CA,natres,Farms,G56,Natural resources
211,natres,Oil and gas extraction,G56,Natural resources
212,natres,Coal mining,G56,Natural resources
213,natres,Support activities for mining,G56,Natural resources
111CA,natres,Farms,E54,Natural resources
211,natres,Oil and gas extraction,E54,Natural resources
212,natres,Coal mining,E54,Natural resources
213,natres,Support activities for mining,E54,Natural resources
111CA,natres,Farms,E56,Natural resources
211,natres,Oil and gas extraction,E56,Natural resources
212,natres,Coal mining,E56,Natural resources
213,natres,Support activities for mining,E56,Natural resources
111CA,natres,Farms,G59,Natural resources
211,natres,Oil and gas extraction,G59,Natural resources
212,natres,Coal mining,G59,Natural resources
213,natres,Support activities for mining,G59,Natural resources
113FF,parkrc,"Forestry, fishing, and related activities",G61,Parks and recreation
711AS,parkrc,"Performing arts, spectator sports, museums, and related activit",G61,Parks and recreation
713,parkrc,"Amusements, gambling, and recreation industries",G61,Parks and recreation
721,parkrc,Accommodation,G61,Parks and recreation
113FF,parkrc,"Forestry, fishing, and related activities",E61,Parks and recreation
711AS,parkrc,"Performing arts, spectator sports, museums, and related activit",E61,Parks and recreation
713,parkrc,"Amusements, gambling, and recreation industries",E61,Parks and recreation
721,parkrc,Accommodation,E61,Parks and recreation
113FF,parkrc,"Forestry, fishing, and related activities",F61,Parks and recreation
711AS,parkrc,"Performing arts, spectator sports, museums, and related activit",F61,Parks and recreation
713,parkrc,"Amusements, gambling, and recreation industries",F61,Parks and recreation
721,parkrc,Accommodation,F61,Parks and recreation
113FF,parkrc,"Forestry, fishing, and related activities",M61,Parks and recreation
711AS,parkrc,"Performing arts, spectator sports, museums, and related activit",M61,Parks and recreation
713,parkrc,"Amusements, gambling, and recreation industries",M61,Parks and recreation
721,parkrc,Accommodation,M61,Parks and recreation
493,govadm,Warehousing and storage,G31,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",G31,Governmental administration
512,govadm,Motion picture and sound recording industries,G31,Governmental administration
513,govadm,Broadcasting and telecommunications,G31,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",G31,Governmental administration
HS,govadm,Housing,G31,Governmental administration
ORE,govadm,Other real estate,G31,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,G31,Governmental administration
5411,govadm,Legal services,G31,Governmental administration
5415,govadm,Computer systems design and related services,G31,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",G31,Governmental administration
55,govadm,Management of companies and enterprises,G31,Governmental administration
561,govadm,Administrative and support services,G31,Governmental administration
GFGD,govadm,Federal general government (defense),G31,Governmental administration
GFGN,govadm,Federal general government (nondefense),G31,Governmental administration
GFE,govadm,Federal government enterprises,G31,Governmental administration
GSLG,govadm,State and local general government,G31,Governmental administration
GSLE,govadm,State and local government enterprises,G31,Governmental administration
493,govadm,Warehousing and storage,F31,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",F31,Governmental administration
512,govadm,Motion picture and sound recording industries,F31,Governmental administration
513,govadm,Broadcasting and telecommunications,F31,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",F31,Governmental administration
HS,govadm,Housing,F31,Governmental administration
ORE,govadm,Other real estate,F31,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,F31,Governmental administration
5411,govadm,Legal services,F31,Governmental administration
5415,govadm,Computer systems design and related services,F31,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",F31,Governmental administration
55,govadm,Management of companies and enterprises,F31,Governmental administration
561,govadm,Administrative and support services,F31,Governmental administration
GFGD,govadm,Federal general government (defense),F31,Governmental administration
GFGN,govadm,Federal general government (nondefense),F31,Governmental administration
GFE,govadm,Federal government enterprises,F31,Governmental administration
GSLG,govadm,State and local general government,F31,Governmental administration
GSLE,govadm,State and local government enterprises,F31,Governmental administration
493,govadm,Warehousing and storage,M23,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",M23,Governmental administration
512,govadm,Motion picture and sound recording industries,M23,Governmental administration
513,govadm,Broadcasting and telecommunications,M23,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",M23,Governmental administration
HS,govadm,Housing,M23,Governmental administration
ORE,govadm,Other real estate,M23,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,M23,Governmental administration
5411,govadm,Legal services,M23,Governmental administration
5415,govadm,Computer systems design and related services,M23,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",M23,Governmental administration
55,govadm,Management of companies and enterprises,M23,Governmental administration
561,govadm,Administrative and support services,M23,Governmental administration
GFGD,govadm,Federal general government (defense),M23,Governmental administration
GFGN,govadm,Federal general government (nondefense),M23,Governmental administration
GFE,govadm,Federal government enterprises,M23,Governmental administration
GSLG,govadm,State and local general government,M23,Governmental administration
GSLE,govadm,State and local government enterprises,M23,Governmental administration
493,govadm,Warehousing and storage,G26,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",G26,Governmental administration
512,govadm,Motion picture and sound recording industries,G26,Governmental administration
513,govadm,Broadcasting and telecommunications,G26,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",G26,Governmental administration
HS,govadm,Housing,G26,Governmental administration
ORE,govadm,Other real estate,G26,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,G26,Governmental administration
5411,govadm,Legal services,G26,Governmental administration
5415,govadm,Computer systems design and related services,G26,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",G26,Governmental administration
55,govadm,Management of companies and enterprises,G26,Governmental administration
561,govadm,Administrative and support services,G26,Governmental administration
GFGD,govadm,Federal general government (defense),G26,Governmental administration
GFGN,govadm,Federal general government (nondefense),G26,Governmental administration
GFE,govadm,Federal government enterprises,G26,Governmental administration
GSLG,govadm,State and local general government,G26,Governmental administration
GSLE,govadm,State and local government enterprises,G26,Governmental administration
493,govadm,Warehousing and storage,M25,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",M25,Governmental administration
512,govadm,Motion picture and sound recording industries,M25,Governmental administration
513,govadm,Broadcasting and telecommunications,M25,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",M25,Governmental administration
HS,govadm,Housing,M25,Governmental administration
ORE,govadm,Other real estate,M25,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,M25,Governmental administration
5411,govadm,Legal services,M25,Governmental administration
5415,govadm,Computer systems design and related services,M25,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",M25,Governmental administration
55,govadm,Management of companies and enterprises,M25,Governmental administration
561,govadm,Administrative and support services,M25,Governmental administration
GFGD,govadm,Federal general government (defense),M25,Governmental administration
GFGN,govadm,Federal general government (nondefense),M25,Governmental administration
GFE,govadm,Federal government enterprises,M25,Governmental administration
GSLG,govadm,State and local general government,M25,Governmental administration
GSLE,govadm,State and local government enterprises,M25,Governmental administration
493,govadm,Warehousing and storage,F26,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",F26,Governmental administration
512,govadm,Motion picture and sound recording industries,F26,Governmental administration
513,govadm,Broadcasting and telecommunications,F26,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",F26,Governmental administration
HS,govadm,Housing,F26,Governmental administration
ORE,govadm,Other real estate,F26,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,F26,Governmental administration
5411,govadm,Legal services,F26,Governmental administration
5415,govadm,Computer systems design and related services,F26,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",F26,Governmental administration
55,govadm,Management of companies and enterprises,F26,Governmental administration
561,govadm,Administrative and support services,F26,Governmental administration
GFGD,govadm,Federal general government (defense),F26,Governmental administration
GFGN,govadm,Federal general government (nondefense),F26,Governmental administration
GFE,govadm,Federal government enterprises,F26,Governmental administration
GSLG,govadm,State and local general government,F26,Governmental administration
GSLE,govadm,State and local government enterprises,F26,Governmental administration
493,govadm,Warehousing and storage,F29,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",F29,Governmental administration
512,govadm,Motion picture and sound recording industries,F29,Governmental administration
513,govadm,Broadcasting and telecommunications,F29,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",F29,Governmental administration
HS,govadm,Housing,F29,Governmental administration
ORE,govadm,Other real estate,F29,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,F29,Governmental administration
5411,govadm,Legal services,F29,Governmental administration
5415,govadm,Computer systems design and related services,F29,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",F29,Governmental administration
55,govadm,Management of companies and enterprises,F29,Governmental administration
561,govadm,Administrative and support services,F29,Governmental administration
GFGD,govadm,Federal general government (defense),F29,Governmental administration
GFGN,govadm,Federal general government (nondefense),F29,Governmental administration
GFE,govadm,Federal government enterprises,F29,Governmental administration
GSLG,govadm,State and local general government,F29,Governmental administration
GSLE,govadm,State and local government enterprises,F29,Governmental administration
493,govadm,Warehousing and storage,M29,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",M29,Governmental administration
512,govadm,Motion picture and sound recording industries,M29,Governmental administration
513,govadm,Broadcasting and telecommunications,M29,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",M29,Governmental administration
HS,govadm,Housing,M29,Governmental administration
ORE,govadm,Other real estate,M29,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,M29,Governmental administration
5411,govadm,Legal services,M29,Governmental administration
5415,govadm,Computer systems design and related services,M29,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",M29,Governmental administration
55,govadm,Management of companies and enterprises,M29,Governmental administration
561,govadm,Administrative and support services,M29,Governmental administration
GFGD,govadm,Federal general government (defense),M29,Governmental administration
GFGN,govadm,Federal general government (nondefense),M29,Governmental administration
GFE,govadm,Federal government enterprises,M29,Governmental administration
GSLG,govadm,State and local general government,M29,Governmental administration
GSLE,govadm,State and local government enterprises,M29,Governmental administration
493,govadm,Warehousing and storage,G23,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",G23,Governmental administration
512,govadm,Motion picture and sound recording industries,G23,Governmental administration
513,govadm,Broadcasting and telecommunications,G23,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",G23,Governmental administration
HS,govadm,Housing,G23,Governmental administration
ORE,govadm,Other real estate,G23,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,G23,Governmental administration
5411,govadm,Legal services,G23,Governmental administration
5415,govadm,Computer systems design and related services,G23,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",G23,Governmental administration
55,govadm,Management of companies and enterprises,G23,Governmental administration
561,govadm,Administrative and support services,G23,Governmental administration
GFGD,govadm,Federal general government (defense),G23,Governmental administration
GFGN,govadm,Federal general government (nondefense),G23,Governmental administration
GFE,govadm,Federal government enterprises,G23,Governmental administration
GSLG,govadm,State and local general government,G23,Governmental administration
GSLE,govadm,State and local government enterprises,G23,Governmental administration
493,govadm,Warehousing and storage,E23,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",E23,Governmental administration
512,govadm,Motion picture and sound recording industries,E23,Governmental administration
513,govadm,Broadcasting and telecommunications,E23,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",E23,Governmental administration
HS,govadm,Housing,E23,Governmental administration
ORE,govadm,Other real estate,E23,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,E23,Governmental administration
5411,govadm,Legal services,E23,Governmental administration
5415,govadm,Computer systems design and related services,E23,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",E23,Governmental administration
55,govadm,Management of companies and enterprises,E23,Governmental administration
561,govadm,Administrative and support services,E23,Governmental administration
GFGD,govadm,Federal general government (defense),E23,Governmental administration
GFGN,govadm,Federal general government (nondefense),E23,Governmental administration
GFE,govadm,Federal government enterprises,E23,Governmental administration
GSLG,govadm,State and local general government,E23,Governmental administration
GSLE,govadm,State and local government enterprises,E23,Governmental administration
493,govadm,Warehousing and storage,E26,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",E26,Governmental administration
512,govadm,Motion picture and sound recording industries,E26,Governmental administration
513,govadm,Broadcasting and telecommunications,E26,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",E26,Governmental administration
HS,govadm,Housing,E26,Governmental administration
ORE,govadm,Other real estate,E26,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,E26,Governmental administration
5411,govadm,Legal services,E26,Governmental administration
5415,govadm,Computer systems design and related services,E26,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",E26,Governmental administration
55,govadm,Management of companies and enterprises,E26,Governmental administration
561,govadm,Administrative and support services,E26,Governmental administration
GFGD,govadm,Federal general government (defense),E26,Governmental administration
GFGN,govadm,Federal general government (nondefense),E26,Governmental administration
GFE,govadm,Federal government enterprises,E26,Governmental administration
GSLG,govadm,State and local general government,E26,Governmental administration
GSLE,govadm,State and local government enterprises,E26,Governmental administration
493,govadm,Warehousing and storage,E29,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",E29,Governmental administration
512,govadm,Motion picture and sound recording industries,E29,Governmental administration
513,govadm,Broadcasting and telecommunications,E29,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",E29,Governmental administration
HS,govadm,Housing,E29,Governmental administration
ORE,govadm,Other real estate,E29,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,E29,Governmental administration
5411,govadm,Legal services,E29,Governmental administration
5415,govadm,Computer systems design and related services,E29,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",E29,Governmental administration
55,govadm,Management of companies and enterprises,E29,Governmental administration
561,govadm,Administrative and support services,E29,Governmental administration
GFGD,govadm,Federal general government (defense),E29,Governmental administration
GFGN,govadm,Federal general government (nondefense),E29,Governmental administration
GFE,govadm,Federal government enterprises,E29,Governmental administration
GSLG,govadm,State and local general government,E29,Governmental administration
GSLE,govadm,State and local government enterprises,E29,Governmental administration
493,govadm,Warehousing and storage,G25,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",G25,Governmental administration
512,govadm,Motion picture and sound recording industries,G25,Governmental administration
513,govadm,Broadcasting and telecommunications,G25,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",G25,Governmental administration
HS,govadm,Housing,G25,Governmental administration
ORE,govadm,Other real estate,G25,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,G25,Governmental administration
5411,govadm,Legal services,G25,Governmental administration
5415,govadm,Computer systems design and related services,G25,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",G25,Governmental administration
55,govadm,Management of companies and enterprises,G25,Governmental administration
